,ctx-lh-CT1,ctx-lh-CT1_2_fro_inf,ctx-lh-CT1_2_mof,ctx-lh-CT1_2_pref_ins_postc,ctx-lh-CT1_2_temp,ctx-lh-CT2_fro,ctx-lh-CT2_par,ctx-lh-CT3_fro,ctx-lh-CT3_par,ctx-lh-CT4_occ,ctx-lh-CT4_dmpf,ctx-lh-CT5_cen,ctx-lh-CT5_ins,ctx-lh-CT5_med,ctx-lh-CT5_occ,ctx-rh-CT1,ctx-rh-CT1_2_fro_inf,ctx-rh-CT1_2_mof,ctx-rh-CT1_2_pref_ins_postc,ctx-rh-CT1_2_temp,ctx-rh-CT2_fro,ctx-rh-CT2_par,ctx-rh-CT3_fro,ctx-rh-CT3_par,ctx-rh-CT4_occ,ctx-rh-CT4_dmpf,ctx-rh-CT5_cen,ctx-rh-CT5_ins,ctx-rh-CT5_med,ctx-rh-CT5_occ
ctx-lh-CT1,,0.046,0.008,0.015,-0.091,-0.058,-0.039,0.025,-0.101,-0.122,0.088,-0.19,-0.045,-0.029,-0.037,-0.186,0.137,-0.125,-0.111,-0.117,-0.019,-0.142,0.18,-0.159,-0.155,0.239,-0.11,0.004,-0.099,0.019
ctx-lh-CT1_2_fro_inf,,,0.076,0.064,-0.031,-0.023,-0.045,0.094,-0.023,-0.096,-0.035,-0.146,-0.086,-0.054,0.007,-0.004,0.011,-0.107,-0.024,-0.111,-0.01,-0.064,0.011,-0.052,-0.058,0.064,-0.134,-0.086,-0.087,0.02
ctx-lh-CT1_2_mof,,,,-0.023,-0.063,-0.004,-0.064,0.163,0.047,0.036,-0.152,-0.059,-0.014,-0.032,0.118,-0.057,0.011,-0.007,-0.065,-0.085,-0.015,-0.096,0.053,-0.046,0.117,-0.079,-0.058,0.049,0.019,0.083
ctx-lh-CT1_2_pref_ins_postc,,,,,-0.068,-0.046,-0.041,0.066,-0.053,-0.147,0.115,-0.245,-0.049,-0.029,-0.018,-0.146,0.111,-0.101,-0.104,-0.063,0.003,-0.096,0.192,-0.13,-0.166,0.207,-0.135,-0.05,-0.063,0.005
ctx-lh-CT1_2_temp,,,,,,0.035,-0.101,0.138,-0.083,-0.061,-0.009,-0.175,-0.133,0.007,-0.044,-0.148,0.023,-0.171,-0.093,-0.097,0.055,-0.146,0.081,-0.163,-0.109,0.127,-0.15,-0.109,-0.011,0.025
ctx-lh-CT2_fro,,,,,,,-0.1,0.084,-0.054,-0.1,0.028,-0.212,-0.116,-0.072,-0.05,-0.118,0.052,-0.101,-0.133,-0.048,0.025,-0.107,0.046,-0.117,-0.091,0.15,-0.166,-0.16,-0.082,-0.039
ctx-lh-CT2_par,,,,,,,,0.009,0.014,-0.034,0.048,-0.168,0.017,-0.042,-0.04,0.022,0.101,-0.158,0.075,0.015,0.118,0.011,0.176,0.04,-0.032,0.209,-0.072,-0.02,-0.093,0.032
ctx-lh-CT3_fro,,,,,,,,,0.107,0.004,0.288,-0.195,-0.111,0.028,-0.018,-0.039,0.072,-0.025,-0.001,0.058,0.059,0.027,0.049,0.009,0.02,0.258,-0.082,-0.161,-0.003,0.028
ctx-lh-CT3_par,,,,,,,,,,-0.066,0.118,-0.222,0.041,0.076,0.018,-0.127,0.125,-0.135,-0.002,-0.048,0.107,-0.048,0.216,-0.126,-0.094,0.289,-0.158,-0.045,-0.023,0.101
ctx-lh-CT4_occ,,,,,,,,,,,0.003,-0.238,-0.108,0.007,0.185,-0.127,-0.023,-0.102,-0.099,-0.115,-0.02,-0.063,0.064,-0.096,0.01,0.158,-0.213,-0.125,-0.075,0.265
ctx-lh-CT4_dmpf,,,,,,,,,,,,-0.074,-0.002,-0.087,0.045,0.016,-0.058,-0.246,0.043,-0.144,0.03,0.058,0.221,0.019,0.026,-0.025,-0.068,-0.007,-0.049,0.071
ctx-lh-CT5_cen,,,,,,,,,,,,,-0.026,-0.133,-0.057,-0.217,-0.082,-0.15,-0.244,-0.127,-0.188,-0.221,-0.081,-0.222,-0.301,-0.018,-0.067,0.044,-0.088,-0.076
ctx-lh-CT5_ins,,,,,,,,,,,,,,-0.024,-0.085,0.007,0.039,-0.078,-0.041,-0.043,-0.105,-0.002,-0.027,0.021,-0.08,0.11,0.053,-0.224,-0.11,-0.082
ctx-lh-CT5_med,,,,,,,,,,,,,,,-0.097,-0.07,0.074,-0.074,-0.03,-0.021,0.03,-0.092,0.068,0.034,0.007,0.078,-0.061,-0.08,-0.089,-0.026
ctx-lh-CT5_occ,,,,,,,,,,,,,,,,0.004,0.045,0.003,0.012,-0.023,0.011,-0.077,0.018,0.031,0.131,0.151,-0.012,-0.109,-0.198,-0.001
ctx-rh-CT1,,,,,,,,,,,,,,,,,0.104,-0.11,-0.039,-0.093,-0.063,-0.022,0.084,-0.091,-0.119,0.163,-0.113,0.058,-0.138,0.037
ctx-rh-CT1_2_fro_inf,,,,,,,,,,,,,,,,,,-0.142,0.1,0.01,0.042,0.086,0.017,0.115,0.07,0.015,-0.009,0.04,0.046,0.087
ctx-rh-CT1_2_mof,,,,,,,,,,,,,,,,,,,-0.118,-0.24,-0.114,-0.153,-0.102,-0.172,-0.052,-0.159,-0.125,-0.043,-0.014,-0.054
ctx-rh-CT1_2_pref_ins_postc,,,,,,,,,,,,,,,,,,,,-0.046,-0.022,0.096,0.131,0.029,-0.045,0.18,-0.139,-0.026,-0.046,0.082
ctx-rh-CT1_2_temp,,,,,,,,,,,,,,,,,,,,,0.009,-0.026,0.039,-0.031,-0.084,0.036,-0.086,-0.049,-0.061,0.006
ctx-rh-CT2_fro,,,,,,,,,,,,,,,,,,,,,,0.108,-0.029,0.041,0.056,0.112,-0.098,-0.142,-0.01,0.06
ctx-rh-CT2_par,,,,,,,,,,,,,,,,,,,,,,,0.185,-0.004,-0.057,0.215,-0.099,-0.035,-0.193,-0.004
ctx-rh-CT3_fro,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.101,0.221,0.038,-0.093,0.001,0.083
ctx-rh-CT3_par,,,,,,,,,,,,,,,,,,,,,,,,,-0.074,0.222,-0.131,-0.024,-0.08,0.084
ctx-rh-CT4_occ,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,-0.215,-0.098,-0.068,0.183
ctx-rh-CT4_dmpf,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.102,0.13,0.179
ctx-rh-CT5_cen,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.067,-0.116,0.005
ctx-rh-CT5_ins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11,-0.09
ctx-rh-CT5_med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.137
ctx-rh-CT5_occ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
